,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
R1,SCO6416,SCO1182,SCO2792,SCO2729,SCO1337,SCO5606,SCO1528,SCO2332,SCO6487,SCO4741,,,,,,,,,,,,,,,,,,,,,
R2,SCO5606,SCO4741,SCO4741,SCO4741,SCO4741,SCO4741,SCO2729,SCO4741,SCO4741,,,,,,,,,,,,,,,,,,,,,,
R3,SCO6487,SCO5606,SCO2729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4,SCO6416,SCO2332,SCO5606,SCO1337,SCO6487,SCO2792,SCO4117,SCO1528,SCO4117,SCO6489,SCO4117,SCO4117,SCO2729,SCO4117,SCO4117,SCO4117,SCO4117,SCO4117,SCO4117,,,,,,,,,,,,
R5,SCO3074,SCO6578,SCO6489,SCO6458,SCO3054,SCO1337,SCO2729,SCO5440,SCO5606,SCO2332,SCO6487,SCO1528,SCO6416,SCO2792,SCO4117,SCO4117,,,,,,,,,,,,,,,
RH1,SCO2792,SCO2729,SCO2332,SCO6416,SCO6487,SCO3317,SCO6578,SCO5065,SCO1528,SCO3074,SCO5942,,,,,,,,,,,,,,,,,,,,
RH2,SCO2792,SCO6489,SCO1528,SCO1182,SCO5440,SCO5065,SCO6458,SCO6416,SCO3317,SCO6578,SCO6487,SCO2332,SCO3074,SCO2729,SCO4741,SCO4741,SCO4741,SCO4741,SCO4741,SCO4741,SCO4741,SCO4741,SCO4741,,,,,,,,
RH5,SCO6489,SCO6487,SCO6458,SCO6416,SCO1337,SCO1528,SCO3869,SCO5065,SCO4003,SCO5440,SCO3054,SCO2332,SCO6578,SCO3074,SCO4665,SCO2729,SCO3869,SCO3869,SCO3869,SCO3869,SCO3869,SCO3869,SCO2091,SCO2091,SCO5942,,,,,,
W1,SCO3074,SCO6489,SCO6487,SCO6416,SCO3054,SCO1337,SCO5440,SCO2087,SCO2792,SCO2729,,,,,,,,,,,,,,,,,,,,,
W2,SCO1528,SCO6458,SCO6416,SCO3869,SCO3869,SCO3869,SCO3869,SCO3869,SCO1182,SCO1337,SCO3869,SCO1276,SCO2729,SCO2711,SCO3074,SCO3869,SCO6487,SCO2711,SCO5065,SCO2711,SCO2711,SCO2711,,,,,,,,,
W3,SCO2792,SCO6167,SCO2091,SCO2091,SCO2729,SCO3054,SCO6416,SCO6487,SCO6489,SCO6578,SCO2091,SCO1337,SCO5440,SCO1182,SCO2091,SCO1528,SCO2091,SCO6458,SCO4665,SCO6167,SCO2091,SCO6167,SCO6167,SCO2091,SCO6167,SCO2091,SCO6167,SCO2091,,,
W4,SCO6487,SCO6416,SCO6167,SCO2729,SCO1528,SCO1337,SCO6167,SCO2792,SCO6167,SCO6167,,,,,,,,,,,,,,,,,,,,,
W5,SCO2729,SCO1528,SCO2711,SCO6487,SCO2711,SCO2711,,,,,,,,,,,,,,,,,,,,,,,,,
WS1,SCO2332,SCO2729,SCO1337,SCO1528,SCO1276,SCO4932,SCO6975,SCO0538,SCO0545,SCO0545,SCO0538,SCO0545,SCO0545,SCO0538,SCO0545,SCO0545,SCO0545,SCO0545,SCO0545,SCO0538,SCO0545,SCO0545,SCO0538,SCO0538,SCO4932,SCO0545,SCO0545,SCO0545,SCO0538,SCO0545,SCO0545
WS2,SCO1337,SCO6578,SCO4665,SCO1528,SCO6416,SCO2792,SCO5440,SCO6621,SCO2332,SCO2729,SCO1182,SCO6489,SCO6487,SCO6458,,,,,,,,,,,,,,,,,
